"eTable 7. Regressions of SCFA serum concentration with respect to sCAGs, ssCAGs, and fCAGs.",,,,,
,,,,,
Short chain fatty acid,SE category,CAG number,beta (95% CI),p-value,FDR strat
Isobutyric acid,Species,CAG 1,"-0.00065 (-0.0055,0.0042)",0.794,1
Isovaleric acid,Species,CAG 1,"-0.001219 (-0.00604,0.00361)",0.622,1
Propionic acid ,Species,CAG 1,"-0.001833 (-0.00666,0.00299)",0.46,1
Butyric acid,Species,CAG 1,"-0.000466 (-0.00529,0.00435)",0.85,1
Acetic acid,Species,CAG 1,"-0.001676 (-0.00646,0.00311)",0.496,1
Isobutyric acid,Species,CAG 2,"0.000262 (-0.00518,0.0057)",0.925,1
Isovaleric acid,Species,CAG 2,"-0.00047 (-0.00589,0.00495)",0.866,1
Propionic acid ,Species,CAG 2,"-0.000273 (-0.00571,0.00517)",0.922,1
Butyric acid,Species,CAG 2,"0.000923 (-0.00448,0.00633)",0.739,1
Acetic acid,Species,CAG 2,"-0.002893 (-0.00824,0.00245)",0.293,1
Isobutyric acid,Species,CAG 3,"0.00653 (0.00249,0.01057)",0.002,0.07
Isovaleric acid,Species,CAG 3,"0.00706 (0.0031,0.01102)",9.29E-04,0.03
Propionic acid ,Species,CAG 3,"0.007299 (0.00335,0.01125)",6.18E-04,0.02
Butyric acid,Species,CAG 3,"-0.000865 (-0.00521,0.00348)",0.698,1
Acetic acid,Species,CAG 3,"0.00866 (0.00494,0.01238)",2.67E-05,8.02E-04
Isobutyric acid,Species,CAG 4,"-0.004429 (-0.00993,0.00108)",0.12,1
Isovaleric acid,Species,CAG 4,"-0.003854 (-0.00937,0.00166)",0.176,1
Propionic acid ,Species,CAG 4,"-0.00364 (-0.00918,0.0019)",0.203,1
Butyric acid,Species,CAG 4,"-0.003478 (-0.00899,0.00204)",0.221,1
Acetic acid,Species,CAG 4,"-0.003142 (-0.00866,0.00237)",0.269,1
Isobutyric acid,Species,CAG 5,"-0.000856 (-0.00505,0.00334)",0.69,1
Isovaleric acid,Species,CAG 5,"-0.00129 (-0.00546,0.00288)",0.547,1
Propionic acid ,Species,CAG 5,"-0.002854 (-0.00699,0.00128)",0.181,1
Butyric acid,Species,CAG 5,"0.001375 (-0.00279,0.00553)",0.52,1
Acetic acid,Species,CAG 5,"-0.001818 (-0.00596,0.00232)",0.392,1
Isobutyric acid,Species,CAG 6,"-0.005398 (-0.01509,0.0043)",0.28,1
Isovaleric acid,Species,CAG 6,"-0.003674 (-0.01339,0.00604)",0.462,1
Propionic acid ,Species,CAG 6,"-0.00079 (-0.01058,0.009)",0.875,1
Butyric acid,Species,CAG 6,"0.008749 (-0.00072,0.01822)",0.075,1
Acetic acid,Species,CAG 6,"-0.004868 (-0.0145,0.00476)",0.326,1
Isobutyric acid,Sub-species,CAG 1,"0.002022 (-0.00252,0.00657)",0.387,1
Isovaleric acid,Sub-species,CAG 1,"0.001419 (-0.00313,0.00596)",0.543,1
Propionic acid ,Sub-species,CAG 1,"0.00154 (-0.00302,0.0061)",0.51,1
Butyric acid,Sub-species,CAG 1,"-0.001312 (-0.00585,0.00322)",0.573,1
Acetic acid,Sub-species,CAG 1,"0.001206 (-0.00332,0.00573)",0.603,1
Isobutyric acid,Sub-species,CAG 2,"0.00179 (-0.00388,0.00745)",0.538,1
Isovaleric acid,Sub-species,CAG 2,"0.000935 (-0.00473,0.0066)",0.747,1
Propionic acid ,Sub-species,CAG 2,"0.00174 (-0.00393,0.00741)",0.55,1
Butyric acid,Sub-species,CAG 2,"0.00225 (-0.00337,0.00787)",0.436,1
Acetic acid,Sub-species,CAG 2,"-0.001155 (-0.00678,0.00447)",0.689,1
Isobutyric acid,Sub-species,CAG 3,"-0.001302 (-0.00912,0.00652)",0.745,1
Isovaleric acid,Sub-species,CAG 3,"-0.001473 (-0.00927,0.00632)",0.712,1
Propionic acid ,Sub-species,CAG 3,"-0.002806 (-0.0106,0.00499)",0.483,1
Butyric acid,Sub-species,CAG 3,"-0.000089 (-0.00787,0.00769)",0.982,1
Acetic acid,Sub-species,CAG 3,"-0.002286 (-0.01002,0.00545)",0.565,1
Isobutyric acid,Sub-species,CAG 4,"-0.002535 (-0.01018,0.00511)",0.518,1
Isovaleric acid,Sub-species,CAG 4,"0.000445 (-0.00721,0.0081)",0.91,1
Propionic acid ,Sub-species,CAG 4,"0.002874 (-0.00477,0.01051)",0.464,1
Butyric acid,Sub-species,CAG 4,"0.009654 (0.00244,0.01687)",0.011,0.56
Acetic acid,Sub-species,CAG 4,"-0.001648 (-0.00925,0.00595)",0.672,1
Isobutyric acid,Sub-species,CAG 5,"-0.003438 (-0.01074,0.00386)",0.36,1
Isovaleric acid,Sub-species,CAG 5,"-0.002561 (-0.00986,0.00474)",0.494,1
Propionic acid ,Sub-species,CAG 5,"-0.002721 (-0.01004,0.0046)",0.469,1
Butyric acid,Sub-species,CAG 5,"-0.00406 (-0.01129,0.00317)",0.276,1
Acetic acid,Sub-species,CAG 5,"-0.001817 (-0.00909,0.00546)",0.626,1
Isobutyric acid,Sub-species,CAG 6,"0.006771 (-0.00174,0.01529)",0.125,1
Isovaleric acid,Sub-species,CAG 6,"0.008864 (0.0005,0.01722)",0.042,1
Propionic acid ,Sub-species,CAG 6,"0.010453 (0.00219,0.01872)",0.016,0.79
Butyric acid,Sub-species,CAG 6,"-0.000204 (-0.00885,0.00844)",0.963,1
Acetic acid,Sub-species,CAG 6,"0.010054 (0.00183,0.01827)",0.02,0.95
Isobutyric acid,Sub-species,CAG 7,"0.002213 (-0.00298,0.0074)",0.407,1
Isovaleric acid,Sub-species,CAG 7,"0.001739 (-0.00345,0.00692)",0.514,1
Propionic acid ,Sub-species,CAG 7,"0.001632 (-0.00357,0.00684)",0.541,1
Butyric acid,Sub-species,CAG 7,"0.000569 (-0.00462,0.00576)",0.831,1
Acetic acid,Sub-species,CAG 7,"0.003226 (-0.00188,0.00833)",0.221,1
Isobutyric acid,Sub-species,CAG 8,"-0.003562 (-0.01846,0.01133)",0.641,1
Isovaleric acid,Sub-species,CAG 8,"-0.005795 (-0.0206,0.00901)",0.446,1
Propionic acid ,Sub-species,CAG 8,"-0.014035 (-0.02852,0.00045)",0.062,1
Butyric acid,Sub-species,CAG 8,"-0.009855 (-0.02447,0.00476)",0.192,1
Acetic acid,Sub-species,CAG 8,"0.003542 (-0.01123,0.01831)",0.64,1
Isobutyric acid,Sub-species,CAG 9,"0.000349 (-0.00052,0.00121)",0.433,1
Isovaleric acid,Sub-species,CAG 9,"0.00019 (-0.00068,0.00106)",0.669,1
Propionic acid ,Sub-species,CAG 9,"0.000092 (-0.00078,0.00096)",0.837,1
Butyric acid,Sub-species,CAG 9,"-0.000128 (-0.00099,0.00074)",0.772,1
Acetic acid,Sub-species,CAG 9,"0.000342 (-0.00052,0.0012)",0.438,1
Isobutyric acid,Sub-species,CAG 10,"-0.002733 (-0.01047,0.005)",0.491,1
Isovaleric acid,Sub-species,CAG 10,"-0.002384 (-0.01011,0.00534)",0.547,1
Propionic acid ,Sub-species,CAG 10,"-0.004462 (-0.01215,0.00322)",0.26,1
Butyric acid,Sub-species,CAG 10,"-0.000939 (-0.00866,0.00678)",0.812,1
Acetic acid,Sub-species,CAG 10,"-0.002418 (-0.0101,0.00526)",0.539,1
Isobutyric acid,Function,CAG 1,"0.000444 (-0.00005,0.00094)",0.082,1
Isovaleric acid,Function,CAG 1,"0.000315 (-0.00018,0.00081)",0.219,1
Propionic acid ,Function,CAG 1,"0.000213 (-0.00029,0.00071)",0.408,1
Butyric acid,Function,CAG 1,"0.000142 (-0.00036,0.00064)",0.58,1
Acetic acid,Function,CAG 1,"0.000057 (-0.00044,0.00056)",0.824,1
Isobutyric acid,Function,CAG 2,"0.000116 (0,0.00024)",0.064,1
Isovaleric acid,Function,CAG 2,"0.000094 (-0.00003,0.00022)",0.133,1
Propionic acid ,Function,CAG 2,"0.000063 (-0.00006,0.00019)",0.315,1
Butyric acid,Function,CAG 2,"0.000041 (-0.00008,0.00016)",0.517,1
Acetic acid,Function,CAG 2,"0.000054 (-0.00007,0.00018)",0.393,1
Isobutyric acid,Function,CAG 3,"0.000658 (0.00021,0.0011)",0.005,1
Isovaleric acid,Function,CAG 3,"0.000587 (0.00014,0.00104)",0.013,1
Propionic acid ,Function,CAG 3,"0.00049 (0.00003,0.00095)",0.041,1
Butyric acid,Function,CAG 3,"0.000331 (-0.00013,0.0008)",0.169,1
Acetic acid,Function,CAG 3,"0.000173 (-0.0003,0.00064)",0.475,1
Isobutyric acid,Function,CAG 4,"0.000581 (-0.00012,0.00129)",0.112,1
Isovaleric acid,Function,CAG 4,"0.00042 (-0.00029,0.00113)",0.252,1
Propionic acid ,Function,CAG 4,"0.000238 (-0.00048,0.00095)",0.517,1
Butyric acid,Function,CAG 4,"0.000165 (-0.00055,0.00088)",0.651,1
Acetic acid,Function,CAG 4,"0.00001 (-0.0007,0.00072)",0.978,1
Isobutyric acid,Function,CAG 5,"0.000136 (-0.00005,0.00033)",0.167,1
Isovaleric acid,Function,CAG 5,"0.000116 (-0.00008,0.00031)",0.24,1
Propionic acid ,Function,CAG 5,"0.000102 (-0.00009,0.00029)",0.302,1
Butyric acid,Function,CAG 5,"0.000122 (-0.00007,0.00031)",0.212,1
Acetic acid,Function,CAG 5,"0.000126 (-0.00006,0.00032)",0.199,1
Isobutyric acid,Function,CAG 6,"-0.000023 (-0.00046,0.00042)",0.919,1
Isovaleric acid,Function,CAG 6,"-0.000047 (-0.00048,0.00039)",0.834,1
Propionic acid ,Function,CAG 6,"0.000047 (-0.00039,0.00048)",0.833,1
Butyric acid,Function,CAG 6,"0.00002 (-0.00041,0.00045)",0.929,1
Acetic acid,Function,CAG 6,"0.000115 (-0.00032,0.00055)",0.605,1
Isobutyric acid,Function,CAG 7,"-0.000033 (-0.00034,0.00028)",0.836,1
Isovaleric acid,Function,CAG 7,"-0.000052 (-0.00036,0.00026)",0.744,1
Propionic acid ,Function,CAG 7,"-0.000089 (-0.0004,0.00022)",0.574,1
Butyric acid,Function,CAG 7,"0.000153 (-0.00015,0.00046)",0.332,1
Acetic acid,Function,CAG 7,"0.000003 (-0.00031,0.00031)",0.985,1
Isobutyric acid,Function,CAG 8,"0.000084 (-0.00014,0.00031)",0.463,1
Isovaleric acid,Function,CAG 8,"0.000049 (-0.00017,0.00027)",0.67,1
Propionic acid ,Function,CAG 8,"0.000085 (-0.00014,0.00031)",0.454,1
Butyric acid,Function,CAG 8,"-0.000018 (-0.00024,0.0002)",0.872,1
Acetic acid,Function,CAG 8,"0.000035 (-0.00019,0.00026)",0.756,1
Isobutyric acid,Function,CAG 9,"-0.000366 (-0.0014,0.00067)",0.492,1
Isovaleric acid,Function,CAG 9,"-0.000472 (-0.0015,0.00056)",0.374,1
Propionic acid ,Function,CAG 9,"-0.000287 (-0.00132,0.00075)",0.59,1
Butyric acid,Function,CAG 9,"-0.000483 (-0.00151,0.00054)",0.36,1
Acetic acid,Function,CAG 9,"0.000009 (-0.00102,0.00104)",0.986,1
Isobutyric acid,Function,CAG 10,"-0.000171 (-0.00076,0.00041)",0.569,1
Isovaleric acid,Function,CAG 10,"-0.00019 (-0.00077,0.00039)",0.525,1
Propionic acid ,Function,CAG 10,"-0.000391 (-0.00097,0.00019)",0.189,1
Butyric acid,Function,CAG 10,"0.000486 (-0.00008,0.00105)",0.099,1
Acetic acid,Function,CAG 10,"-0.000257 (-0.00084,0.00032)",0.387,1
Isobutyric acid,Function,CAG 11,"-0.000074 (-0.00064,0.00049)",0.799,1
Isovaleric acid,Function,CAG 11,"-0.000083 (-0.00065,0.00048)",0.774,1
Propionic acid ,Function,CAG 11,"-0.000278 (-0.00084,0.00028)",0.335,1
Butyric acid,Function,CAG 11,"-0.000429 (-0.00098,0.00012)",0.132,1
Acetic acid,Function,CAG 11,"-0.000178 (-0.00074,0.00038)",0.534,1
Isobutyric acid,Function,CAG 12,"-0.000233 (-0.00087,0.0004)",0.474,1
Isovaleric acid,Function,CAG 12,"-0.000277 (-0.00091,0.00036)",0.395,1
Propionic acid ,Function,CAG 12,"-0.000131 (-0.00077,0.0005)",0.688,1
Butyric acid,Function,CAG 12,"-0.000063 (-0.0007,0.00057)",0.847,1
Acetic acid,Function,CAG 12,"-0.000178 (-0.00081,0.00045)",0.582,1
Isobutyric acid,Function,CAG 13,"0.000275 (-0.00006,0.00062)",0.118,1
Isovaleric acid,Function,CAG 13,"0.000254 (-0.00009,0.00059)",0.148,1
Propionic acid ,Function,CAG 13,"0.000468 (0.00014,0.00079)",0.006,1
Butyric acid,Function,CAG 13,"0.000072 (-0.00027,0.00042)",0.682,1
Acetic acid,Function,CAG 13,"0.000163 (-0.00018,0.00051)",0.352,1
Isobutyric acid,Function,CAG 14,"0.000008 (-0.0004,0.00042)",0.971,1
Isovaleric acid,Function,CAG 14,"0.00017 (-0.00024,0.00058)",0.416,1
Propionic acid ,Function,CAG 14,"0.000189 (-0.00022,0.0006)",0.365,1
Butyric acid,Function,CAG 14,"0.000226 (-0.00018,0.00063)",0.277,1
Acetic acid,Function,CAG 14,"-0.000018 (-0.00042,0.00039)",0.932,1
Isobutyric acid,Function,CAG 15,"0.000013 (-0.00049,0.00052)",0.959,1
Isovaleric acid,Function,CAG 15,"0.000128 (-0.00038,0.00063)",0.621,1
Propionic acid ,Function,CAG 15,"0.000076 (-0.00043,0.00058)",0.771,1
Butyric acid,Function,CAG 15,"0.000455 (-0.00003,0.00094)",0.073,1
Acetic acid,Function,CAG 15,"0.000186 (-0.00031,0.00069)",0.47,1
Isobutyric acid,Function,CAG 16,"0.000751 (0.00028,0.00122)",0.003,1
Isovaleric acid,Function,CAG 16,"0.000626 (0.00015,0.0011)",0.013,1
Propionic acid ,Function,CAG 16,"0.000597 (0.00012,0.00108)",0.018,1
Butyric acid,Function,CAG 16,"0.000128 (-0.00037,0.00063)",0.618,1
Acetic acid,Function,CAG 16,"0.000413 (-0.00008,0.0009)",0.103,1
Isobutyric acid,Function,CAG 17,"0.000348 (-0.00005,0.00075)",0.093,1
Isovaleric acid,Function,CAG 17,"0.000193 (-0.00021,0.0006)",0.355,1
Propionic acid ,Function,CAG 17,"0.000148 (-0.00026,0.00055)",0.48,1
Butyric acid,Function,CAG 17,"-0.000118 (-0.00052,0.00029)",0.571,1
Acetic acid,Function,CAG 17,"0.00027 (-0.00013,0.00067)",0.19,1
Isobutyric acid,Function,CAG 18,"0.000259 (-0.00004,0.00056)",0.096,1
Isovaleric acid,Function,CAG 18,"0.000123 (-0.00018,0.00043)",0.435,1
Propionic acid ,Function,CAG 18,"0.000168 (-0.00014,0.00047)",0.282,1
Butyric acid,Function,CAG 18,"0.000007 (-0.0003,0.00031)",0.966,1
Acetic acid,Function,CAG 18,"0.000222 (-0.00008,0.00052)",0.151,1
Isobutyric acid,Function,CAG 19,"-0.000027 (-0.00051,0.00046)",0.915,1
Isovaleric acid,Function,CAG 19,"0.000184 (-0.0003,0.00067)",0.458,1
Propionic acid ,Function,CAG 19,"0.000285 (-0.00019,0.00076)",0.249,1
Butyric acid,Function,CAG 19,"0.000014 (-0.00047,0.0005)",0.955,1
Acetic acid,Function,CAG 19,"-0.000091 (-0.00057,0.00039)",0.711,1
Isobutyric acid,Function,CAG 20,"-0.000208 (-0.00117,0.00076)",0.675,1
Isovaleric acid,Function,CAG 20,"-0.000313 (-0.00127,0.00065)",0.527,1
Propionic acid ,Function,CAG 20,"-0.000075 (-0.00104,0.00089)",0.88,1
Butyric acid,Function,CAG 20,"0.000007 (-0.00095,0.00097)",0.988,1
Acetic acid,Function,CAG 20,"-0.000401 (-0.00135,0.00055)",0.413,1
Isobutyric acid,Function,CAG 21,"-0.000018 (-0.00042,0.00038)",0.929,1
Isovaleric acid,Function,CAG 21,"-0.00004 (-0.00044,0.00036)",0.846,1
Propionic acid ,Function,CAG 21,"0.00007 (-0.00033,0.00047)",0.731,1
Butyric acid,Function,CAG 21,"0.000103 (-0.00029,0.0005)",0.614,1
Acetic acid,Function,CAG 21,"-0.000002 (-0.0004,0.0004)",0.991,1
Isobutyric acid,Function,CAG 22,"-0.00052 (-0.00119,0.00015)",0.136,1
Isovaleric acid,Function,CAG 22,"-0.000116 (-0.0008,0.00057)",0.742,1
Propionic acid ,Function,CAG 22,"-0.000271 (-0.00095,0.00041)",0.439,1
Butyric acid,Function,CAG 22,"0.000444 (-0.00023,0.00112)",0.201,1
Acetic acid,Function,CAG 22,"-0.000427 (-0.0011,0.00025)",0.219,1
Isobutyric acid,Function,CAG 23,"0.000465 (-0.0004,0.00133)",0.295,1
Isovaleric acid,Function,CAG 23,"0.000501 (-0.00036,0.00136)",0.258,1
Propionic acid ,Function,CAG 23,"0.0004 (-0.00046,0.00126)",0.367,1
Butyric acid,Function,CAG 23,"0.000766 (-0.00007,0.00161)",0.079,1
Acetic acid,Function,CAG 23,"0.000631 (-0.00022,0.00148)",0.15,1
Isobutyric acid,Function,CAG 24,"0.000049 (-0.00056,0.00065)",0.875,1
Isovaleric acid,Function,CAG 24,"0.000072 (-0.00053,0.00068)",0.816,1
Propionic acid ,Function,CAG 24,"0.000232 (-0.00037,0.00083)",0.452,1
Butyric acid,Function,CAG 24,"-0.000123 (-0.00072,0.00048)",0.69,1
Acetic acid,Function,CAG 24,"0.000303 (-0.00029,0.0009)",0.323,1
Isobutyric acid,Function,CAG 25,"-0.000091 (-0.00046,0.00028)",0.632,1
Isovaleric acid,Function,CAG 25,"-0.000028 (-0.0004,0.00034)",0.883,1
Propionic acid ,Function,CAG 25,"-0.000016 (-0.00039,0.00036)",0.933,1
Butyric acid,Function,CAG 25,"0.0003 (-0.00006,0.00066)",0.109,1
Acetic acid,Function,CAG 25,"0.000035 (-0.00033,0.0004)",0.851,1
Isobutyric acid,Function,CAG 26,"0.000326 (0.00009,0.00056)",0.009,1
Isovaleric acid,Function,CAG 26,"0.000289 (0.00005,0.00053)",0.021,1
Propionic acid ,Function,CAG 26,"0.000258 (0.00002,0.0005)",0.04,1
Butyric acid,Function,CAG 26,"0.000138 (-0.00011,0.00038)",0.277,1
Acetic acid,Function,CAG 26,"0.00006 (-0.00019,0.00031)",0.641,1
Isobutyric acid,Function,CAG 27,"-0.000022 (-0.00025,0.00021)",0.852,1
Isovaleric acid,Function,CAG 27,"-0.000033 (-0.00026,0.0002)",0.779,1
Propionic acid ,Function,CAG 27,"-0.000029 (-0.00026,0.0002)",0.806,1
Butyric acid,Function,CAG 27,"-0.000012 (-0.00024,0.00022)",0.922,1
Acetic acid,Function,CAG 27,"0.00012 (-0.00011,0.00035)",0.303,1
Isobutyric acid,Function,CAG 28,"-0.000013 (-0.00029,0.00027)",0.928,1
Isovaleric acid,Function,CAG 28,"-0.000039 (-0.00032,0.00024)",0.788,1
Propionic acid ,Function,CAG 28,"-0.000089 (-0.00037,0.00019)",0.534,1
Butyric acid,Function,CAG 28,"-0.000002 (-0.00028,0.00028)",0.986,1
Acetic acid,Function,CAG 28,"-0.000105 (-0.00038,0.00017)",0.459,1
Isobutyric acid,Function,CAG 29,"0.000185 (-0.00024,0.00061)",0.4,1
Isovaleric acid,Function,CAG 29,"0.000197 (-0.00023,0.00062)",0.369,1
Propionic acid ,Function,CAG 29,"0.000077 (-0.00035,0.00051)",0.728,1
Butyric acid,Function,CAG 29,"-0.00028 (-0.0007,0.00014)",0.197,1
Acetic acid,Function,CAG 29,"0.000306 (-0.00011,0.00073)",0.158,1
Isobutyric acid,Function,CAG 30,"0.001164 (0.00029,0.00204)",0.011,1
Isovaleric acid,Function,CAG 30,"0.001061 (0.00018,0.00194)",0.021,1
