eTable 8. Spearman associations bewtween Species versus SCFAs metabolites,,,,
Isobutyric acid,Lachnospiraceae bacterium 6 1 63FAA,-0.152,0.207,0.845
Isovaleric acid,Lachnospiraceae bacterium 6 1 63FAA,-0.0875,0.468,0.904
Propionic acid ,Lachnospiraceae bacterium 6 1 63FAA,-0.134,0.265,0.859
Acetic acid,Lachnospiraceae bacterium 7 1 58FAA,-0.0589,0.625,0.941
Butyric acid,Lachnospiraceae bacterium 7 1 58FAA,0.0237,0.844,0.98
Isobutyric acid,Lachnospiraceae bacterium 7 1 58FAA,-0.114,0.342,0.877
Isovaleric acid,Lachnospiraceae bacterium 7 1 58FAA,-0.056,0.643,0.944
Propionic acid ,Lachnospiraceae bacterium 7 1 58FAA,-0.112,0.353,0.877
Acetic acid,Lachnospiraceae bacterium 8 1 57FAA,0.358,0.00214,0.845
Butyric acid,Lachnospiraceae bacterium 8 1 57FAA,0.0305,0.8,0.974
Isobutyric acid,Lachnospiraceae bacterium 8 1 57FAA,0.278,0.019,0.845
Isovaleric acid,Lachnospiraceae bacterium 8 1 57FAA,0.294,0.0127,0.845
Propionic acid ,Lachnospiraceae bacterium 8 1 57FAA,0.175,0.145,0.845
Acetic acid,Lachnospiraceae bacterium 9 1 43BFAA,0.195,0.103,0.845
Butyric acid,Lachnospiraceae bacterium 9 1 43BFAA,0.249,0.0366,0.845
Isobutyric acid,Lachnospiraceae bacterium 9 1 43BFAA,0.164,0.173,0.845
Isovaleric acid,Lachnospiraceae bacterium 9 1 43BFAA,0.0284,0.814,0.975
Propionic acid ,Lachnospiraceae bacterium 9 1 43BFAA,0.25,0.0358,0.845
Acetic acid,Lactobacillus casei paracasei,NA,NA,NA
Butyric acid,Lactobacillus casei paracasei,NA,NA,NA
Isobutyric acid,Lactobacillus casei paracasei,NA,NA,NA
Isovaleric acid,Lactobacillus casei paracasei,NA,NA,NA
Propionic acid ,Lactobacillus casei paracasei,NA,NA,NA
Acetic acid,Lactobacillus curvatus,0.195,0.103,0.845
Butyric acid,Lactobacillus curvatus,0.25,0.0357,0.845
Isobutyric acid,Lactobacillus curvatus,0.16,0.181,0.845
Isovaleric acid,Lactobacillus curvatus,0.0214,0.859,0.983
Propionic acid ,Lactobacillus curvatus,0.249,0.0365,0.845
Acetic acid,Lactobacillus sakei,0.0933,0.439,0.894
Butyric acid,Lactobacillus sakei,0,1,1
Isobutyric acid,Lactobacillus sakei,0.163,0.174,0.845
Isovaleric acid,Lactobacillus sakei,0.157,0.19,0.845
Propionic acid ,Lactobacillus sakei,0.128,0.286,0.863
Acetic acid,Lactococcus lactis,0.0642,0.595,0.932
Butyric acid,Lactococcus lactis,0.0262,0.828,0.98
Isobutyric acid,Lactococcus lactis,0.128,0.286,0.863
Isovaleric acid,Lactococcus lactis,0.134,0.265,0.859
Propionic acid ,Lactococcus lactis,0.146,0.225,0.85
Acetic acid,Marvinbryantia formatexigens,-0.0462,0.702,0.957
Butyric acid,Marvinbryantia formatexigens,-0.015,0.901,0.99
Isobutyric acid,Marvinbryantia formatexigens,-0.132,0.273,0.863
Isovaleric acid,Marvinbryantia formatexigens,-0.207,0.0833,0.845
Propionic acid ,Marvinbryantia formatexigens,0.05,0.679,0.954
Acetic acid,Megamonas funiformis,-0.011,0.928,0.992
Butyric acid,Megamonas funiformis,-0.0991,0.411,0.891
Isobutyric acid,Megamonas funiformis,0.106,0.381,0.883
Isovaleric acid,Megamonas funiformis,0.03,0.804,0.974
Propionic acid ,Megamonas funiformis,0.0759,0.529,0.915
Acetic acid,Megamonas hypermegale,0.0127,0.916,0.992
Butyric acid,Megamonas hypermegale,-0.0248,0.838,0.98
Isobutyric acid,Megamonas hypermegale,0.155,0.198,0.845
Isovaleric acid,Megamonas hypermegale,0.0106,0.93,0.993
Propionic acid ,Megamonas hypermegale,0.0835,0.489,0.908
Acetic acid,Megamonas rupellensis,-0.033,0.785,0.971
Butyric acid,Megamonas rupellensis,-0.0138,0.909,0.992
Isobutyric acid,Megamonas rupellensis,0.0124,0.918,0.992
Isovaleric acid,Megamonas rupellensis,-0.0782,0.517,0.915
Propionic acid ,Megamonas rupellensis,-0.018,0.881,0.986
Acetic acid,Megamonas unclassified,-0.155,0.197,0.845
Butyric acid,Megamonas unclassified,-0.0944,0.433,0.894
Isobutyric acid,Megamonas unclassified,0.0525,0.663,0.947
Isovaleric acid,Megamonas unclassified,0.0036,0.976,0.998
Propionic acid ,Megamonas unclassified,-0.0248,0.837,0.98
Acetic acid,Methanobrevibacter smithii,0.0491,0.684,0.955
Butyric acid,Methanobrevibacter smithii,-0.00445,0.971,0.997
Isobutyric acid,Methanobrevibacter smithii,0.152,0.206,0.845
Isovaleric acid,Methanobrevibacter smithii,-0.007,0.954,0.996
Propionic acid ,Methanobrevibacter smithii,0.0874,0.469,0.905
Acetic acid,Methanobrevibacter unclassified,0.0208,0.863,0.983
Butyric acid,Methanobrevibacter unclassified,0.143,0.234,0.854
Isobutyric acid,Methanobrevibacter unclassified,0.0836,0.488,0.908
Isovaleric acid,Methanobrevibacter unclassified,-0.0648,0.592,0.932
Propionic acid ,Methanobrevibacter unclassified,-0.0223,0.853,0.982
Acetic acid,Mitsuokella multacida,0.0473,0.695,0.956
Butyric acid,Mitsuokella multacida,-0.0827,0.493,0.908
Isobutyric acid,Mitsuokella multacida,0.0328,0.786,0.971
Isovaleric acid,Mitsuokella multacida,-0.136,0.259,0.859
Propionic acid ,Mitsuokella multacida,-0.19,0.112,0.845
Acetic acid,Mitsuokella unclassified,0.158,0.189,0.845
Butyric acid,Mitsuokella unclassified,0.0137,0.909,0.992
Isobutyric acid,Mitsuokella unclassified,0.135,0.26,0.859
Isovaleric acid,Mitsuokella unclassified,0.00236,0.984,1
Propionic acid ,Mitsuokella unclassified,-0.0456,0.706,0.957
Acetic acid,Odoribacter laneus,-0.0104,0.931,0.993
Butyric acid,Odoribacter laneus,-0.0284,0.814,0.975
Isobutyric acid,Odoribacter laneus,0.152,0.207,0.845
Isovaleric acid,Odoribacter laneus,0.0182,0.88,0.986
Propionic acid ,Odoribacter laneus,0.115,0.34,0.877
Acetic acid,Odoribacter splanchnicus,0.183,0.127,0.845
Butyric acid,Odoribacter splanchnicus,-0.014,0.908,0.992
Isobutyric acid,Odoribacter splanchnicus,0.167,0.163,0.845
Isovaleric acid,Odoribacter splanchnicus,0.136,0.258,0.859
Propionic acid ,Odoribacter splanchnicus,0.169,0.159,0.845
Acetic acid,Odoribacter unclassified,-0.0349,0.772,0.968
Butyric acid,Odoribacter unclassified,-0.0305,0.8,0.974
Isobutyric acid,Odoribacter unclassified,0.0881,0.465,0.904
Isovaleric acid,Odoribacter unclassified,-0.033,0.785,0.971
Propionic acid ,Odoribacter unclassified,-0.15,0.213,0.85
Acetic acid,Oscillibacter unclassified,0.086,0.476,0.908
Butyric acid,Oscillibacter unclassified,-0.0875,0.468,0.904
Isobutyric acid,Oscillibacter unclassified,0.00231,0.985,1
Isovaleric acid,Oscillibacter unclassified,0.0725,0.548,0.923
Propionic acid ,Oscillibacter unclassified,-0.0712,0.555,0.925
Acetic acid,Oxalobacter formigenes,-0.0765,0.526,0.915
Butyric acid,Oxalobacter formigenes,-0.107,0.374,0.883
Isobutyric acid,Oxalobacter formigenes,-0.0223,0.854,0.982
Isovaleric acid,Oxalobacter formigenes,-0.123,0.308,0.87
Propionic acid ,Oxalobacter formigenes,-0.0885,0.463,0.904
Acetic acid,Parabacteroides distasonis,-0.103,0.393,0.886
Butyric acid,Parabacteroides distasonis,-0.231,0.0527,0.845
Isobutyric acid,Parabacteroides distasonis,-0.133,0.27,0.862
Isovaleric acid,Parabacteroides distasonis,-0.0614,0.611,0.94
Propionic acid ,Parabacteroides distasonis,-0.215,0.0718,0.845
Acetic acid,Parabacteroides goldsteinii,0.169,0.16,0.845
Butyric acid,Parabacteroides goldsteinii,-0.0384,0.751,0.966
Isobutyric acid,Parabacteroides goldsteinii,-0.0498,0.68,0.954
Isovaleric acid,Parabacteroides goldsteinii,-0.0207,0.864,0.983
Propionic acid ,Parabacteroides goldsteinii,-0.0907,0.452,0.903
Acetic acid,Parabacteroides johnsonii,0.305,0.00961,0.845
Butyric acid,Parabacteroides johnsonii,0.00824,0.946,0.996
Isobutyric acid,Parabacteroides johnsonii,0.327,0.00545,0.845
Isovaleric acid,Parabacteroides johnsonii,0.305,0.0096,0.845
Propionic acid ,Parabacteroides johnsonii,0.242,0.0424,0.845
Acetic acid,Parabacteroides merdae,0.0875,0.468,0.904
Butyric acid,Parabacteroides merdae,-0.192,0.109,0.845
Isobutyric acid,Parabacteroides merdae,0.129,0.282,0.863
Isovaleric acid,Parabacteroides merdae,0.165,0.169,0.845
Propionic acid ,Parabacteroides merdae,-0.101,0.403,0.891
Acetic acid,Parabacteroides sp 20 3,-0.198,0.0974,0.845
Butyric acid,Parabacteroides sp 20 3,0.00583,0.962,0.996
Isobutyric acid,Parabacteroides sp 20 3,-0.0817,0.498,0.908
Isovaleric acid,Parabacteroides sp 20 3,-0.0991,0.411,0.891
Propionic acid ,Parabacteroides sp 20 3,-0.192,0.108,0.845
Acetic acid,Parabacteroides unclassified,-0.0821,0.496,0.908
Butyric acid,Parabacteroides unclassified,-0.00688,0.955,0.996
Isobutyric acid,Parabacteroides unclassified,0.0358,0.767,0.968
Isovaleric acid,Parabacteroides unclassified,0.12,0.321,0.874
Propionic acid ,Parabacteroides unclassified,0.0492,0.684,0.955
Acetic acid,Paraprevotella clara,0.0407,0.736,0.964
Butyric acid,Paraprevotella clara,-0.178,0.138,0.845
Isobutyric acid,Paraprevotella clara,0.113,0.348,0.877
Isovaleric acid,Paraprevotella clara,0.0954,0.429,0.894
Propionic acid ,Paraprevotella clara,-0.0842,0.485,0.908
Acetic acid,Paraprevotella unclassified,-0.0377,0.755,0.967
Butyric acid,Paraprevotella unclassified,-0.16,0.184,0.845
Isobutyric acid,Paraprevotella unclassified,-0.0124,0.918,0.992
Isovaleric acid,Paraprevotella unclassified,0.0726,0.548,0.923
Propionic acid ,Paraprevotella unclassified,-0.0823,0.495,0.908
Acetic acid,Paraprevotella xylaniphila,0.0817,0.498,0.908
Butyric acid,Paraprevotella xylaniphila,-0.0257,0.831,0.98
Isobutyric acid,Paraprevotella xylaniphila,0.0041,0.973,0.997
Isovaleric acid,Paraprevotella xylaniphila,0.195,0.103,0.845
Propionic acid ,Paraprevotella xylaniphila,0.114,0.343,0.877
Acetic acid,Parasutterella excrementihominis,0.184,0.124,0.845
Butyric acid,Parasutterella excrementihominis,0.118,0.329,0.874
Isobutyric acid,Parasutterella excrementihominis,0.0743,0.538,0.919
Isovaleric acid,Parasutterella excrementihominis,0.0557,0.645,0.944
Propionic acid ,Parasutterella excrementihominis,0.0996,0.409,0.891
Acetic acid,Peptostreptococcaceae noname unclassified,0.0694,0.565,0.925
Butyric acid,Peptostreptococcaceae noname unclassified,0.165,0.168,0.845
Isobutyric acid,Peptostreptococcaceae noname unclassified,-0.0388,0.748,0.966
Isovaleric acid,Peptostreptococcaceae noname unclassified,0.0857,0.477,0.908
Propionic acid ,Peptostreptococcaceae noname unclassified,-0.006,0.96,0.996
Acetic acid,Phascolarctobacterium succinatutens,-0.0725,0.548,0.923
Butyric acid,Phascolarctobacterium succinatutens,0.201,0.093,0.845
Isobutyric acid,Phascolarctobacterium succinatutens,-0.0898,0.457,0.904
Isovaleric acid,Phascolarctobacterium succinatutens,-0.117,0.33,0.874
Propionic acid ,Phascolarctobacterium succinatutens,-0.00647,0.957,0.996
Acetic acid,Prevotella bivia,NA,NA,NA
Butyric acid,Prevotella bivia,NA,NA,NA
Isobutyric acid,Prevotella bivia,NA,NA,NA
Isovaleric acid,Prevotella bivia,NA,NA,NA
Propionic acid ,Prevotella bivia,NA,NA,NA
Acetic acid,Prevotella copri,-0.0667,0.58,0.931
Butyric acid,Prevotella copri,0.0693,0.566,0.926
Isobutyric acid,Prevotella copri,0.00277,0.982,0.999
Isovaleric acid,Prevotella copri,-0.0309,0.798,0.974
Propionic acid ,Prevotella copri,0.0917,0.447,0.898
Acetic acid,Prevotella stercorea,0.198,0.0974,0.845
Butyric acid,Prevotella stercorea,0.134,0.265,0.859
Isobutyric acid,Prevotella stercorea,0.181,0.131,0.845
Isovaleric acid,Prevotella stercorea,0.187,0.119,0.845
Propionic acid ,Prevotella stercorea,0.181,0.131,0.845
Acetic acid,Proteus penneri,0.195,0.103,0.845
Butyric acid,Proteus penneri,0.25,0.0357,0.845
Isobutyric acid,Proteus penneri,0.16,0.181,0.845
Isovaleric acid,Proteus penneri,0.0214,0.859,0.983
Propionic acid ,Proteus penneri,0.249,0.0365,0.845
Acetic acid,Proteus unclassified,0.195,0.103,0.845
Butyric acid,Proteus unclassified,0.249,0.0366,0.845
Isobutyric acid,Proteus unclassified,0.164,0.173,0.845
Isovaleric acid,Proteus unclassified,0.0284,0.814,0.975
Propionic acid ,Proteus unclassified,0.25,0.0358,0.845
Acetic acid,Pseudoflavonifractor capillosus,0.187,0.119,0.845
Butyric acid,Pseudoflavonifractor capillosus,0.111,0.358,0.877
Isobutyric acid,Pseudoflavonifractor capillosus,-0.00386,0.975,0.998
Isovaleric acid,Pseudoflavonifractor capillosus,0.135,0.261,0.859
Propionic acid ,Pseudoflavonifractor capillosus,0.0339,0.779,0.97
Acetic acid,Roseburia hominis,0.193,0.108,0.845
Butyric acid,Roseburia hominis,-0.032,0.791,0.973
Isobutyric acid,Roseburia hominis,0.0816,0.499,0.908
Isovaleric acid,Roseburia hominis,0.139,0.249,0.859
Propionic acid ,Roseburia hominis,-0.00749,0.951,0.996
Acetic acid,Roseburia intestinalis,0.0607,0.615,0.94
Butyric acid,Roseburia intestinalis,0.127,0.292,0.866
Isobutyric acid,Roseburia intestinalis,0.0928,0.442,0.895
Isovaleric acid,Roseburia intestinalis,0.15,0.212,0.85
Propionic acid ,Roseburia intestinalis,0.248,0.0367,0.845
Acetic acid,Roseburia inulinivorans,0.195,0.104,0.845
Butyric acid,Roseburia inulinivorans,-0.0574,0.635,0.943
Isobutyric acid,Roseburia inulinivorans,0.143,0.233,0.852
Isovaleric acid,Roseburia inulinivorans,0.206,0.0852,0.845
Propionic acid ,Roseburia inulinivorans,0.0866,0.473,0.907
Acetic acid,Roseburia unclassified,-0.295,0.0124,0.845
Butyric acid,Roseburia unclassified,0.00243,0.984,1
Isobutyric acid,Roseburia unclassified,-0.214,0.0731,0.845
Isovaleric acid,Roseburia unclassified,-0.129,0.284,0.863
Propionic acid ,Roseburia unclassified,-0.123,0.307,0.87
Acetic acid,Ruminococcaceae bacterium D16,-0.123,0.307,0.87
Butyric acid,Ruminococcaceae bacterium D16,0.0883,0.464,0.904
Isobutyric acid,Ruminococcaceae bacterium D16,-0.208,0.0817,0.845
Isovaleric acid,Ruminococcaceae bacterium D16,-0.0492,0.684,0.955
Propionic acid ,Ruminococcaceae bacterium D16,-0.0879,0.466,0.904
Acetic acid,Ruminococcus bromii,0.0562,0.642,0.944
Butyric acid,Ruminococcus bromii,0.123,0.308,0.87
Isobutyric acid,Ruminococcus bromii,0.0322,0.79,0.973
Isovaleric acid,Ruminococcus bromii,0.0661,0.584,0.932
Propionic acid ,Ruminococcus bromii,0.0612,0.612,0.94
Acetic acid,Ruminococcus callidus,0.134,0.266,0.86
Butyric acid,Ruminococcus callidus,0.137,0.254,0.859
Isobutyric acid,Ruminococcus callidus,0.179,0.135,0.845
Isovaleric acid,Ruminococcus callidus,0.116,0.334,0.874
Propionic acid ,Ruminococcus callidus,0.0405,0.737,0.964
Acetic acid,Ruminococcus champanellensis,-0.192,0.108,0.845
Butyric acid,Ruminococcus champanellensis,-0.0817,0.498,0.908
Isobutyric acid,Ruminococcus champanellensis,-0.0875,0.468,0.904
Isovaleric acid,Ruminococcus champanellensis,-0.204,0.0877,0.845
Propionic acid ,Ruminococcus champanellensis,-0.035,0.772,0.968
Acetic acid,Ruminococcus gnavus,-0.0439,0.716,0.961
Butyric acid,Ruminococcus gnavus,0.015,0.901,0.99
Isobutyric acid,Ruminococcus gnavus,-0.0417,0.73,0.964
Isovaleric acid,Ruminococcus gnavus,0.000211,0.999,1
Propionic acid ,Ruminococcus gnavus,0.0389,0.748,0.966
Acetic acid,Ruminococcus lactaris,0.0396,0.743,0.966
Butyric acid,Ruminococcus lactaris,0.0323,0.789,0.972
Isobutyric acid,Ruminococcus lactaris,0.0459,0.704,0.957
Isovaleric acid,Ruminococcus lactaris,0.125,0.3,0.868
Propionic acid ,Ruminococcus lactaris,0.0409,0.735,0.964
Acetic acid,Ruminococcus obeum,0.126,0.296,0.866
Butyric acid,Ruminococcus obeum,0.0274,0.821,0.977
Isobutyric acid,Ruminococcus obeum,0.157,0.191,0.845
Isovaleric acid,Ruminococcus obeum,0.27,0.0226,0.845
Propionic acid ,Ruminococcus obeum,0.09,0.455,0.904
Acetic acid,Ruminococcus sp 5 1 39BFAA,-0.124,0.302,0.87
Butyric acid,Ruminococcus sp 5 1 39BFAA,-0.108,0.369,0.881
Isobutyric acid,Ruminococcus sp 5 1 39BFAA,0.0239,0.843,0.98
Isovaleric acid,Ruminococcus sp 5 1 39BFAA,0.0207,0.864,0.983
Propionic acid ,Ruminococcus sp 5 1 39BFAA,0.00167,0.989,1
Acetic acid,Ruminococcus torques,0.147,0.222,0.85
Butyric acid,Ruminococcus torques,0.117,0.331,0.874
Isobutyric acid,Ruminococcus torques,0.11,0.363,0.878
Isovaleric acid,Ruminococcus torques,0.0151,0.9,0.99
Propionic acid ,Ruminococcus torques,0.00652,0.957,0.996
Acetic acid,Slackia piriformis,-0.0117,0.923,0.992
Butyric acid,Slackia piriformis,-0.0758,0.53,0.915
Isobutyric acid,Slackia piriformis,0.00583,0.961,0.996
Isovaleric acid,Slackia piriformis,-0.0175,0.885,0.986
Propionic acid ,Slackia piriformis,0.122,0.309,0.87
Acetic acid,Streptococcus anginosus,-0.14,0.244,0.856
Butyric acid,Streptococcus anginosus,0.0408,0.735,0.964
Isobutyric acid,Streptococcus anginosus,-0.105,0.384,0.883
Isovaleric acid,Streptococcus anginosus,-0.14,0.244,0.856
Propionic acid ,Streptococcus anginosus,-0.181,0.131,0.845
Acetic acid,Streptococcus australis,0.0933,0.439,0.894
Butyric acid,Streptococcus australis,0,1,1
Isobutyric acid,Streptococcus australis,0.163,0.174,0.845
Isovaleric acid,Streptococcus australis,0.157,0.19,0.845
Propionic acid ,Streptococcus australis,0.128,0.286,0.863
Acetic acid,Streptococcus parasanguinis,0.168,0.161,0.845
Butyric acid,Streptococcus parasanguinis,0.0275,0.82,0.977
Isobutyric acid,Streptococcus parasanguinis,0.0801,0.507,0.909
Isovaleric acid,Streptococcus parasanguinis,0.192,0.108,0.845
Propionic acid ,Streptococcus parasanguinis,0.0466,0.699,0.956
Acetic acid,Streptococcus salivarius,0.192,0.108,0.845
Butyric acid,Streptococcus salivarius,0.0812,0.501,0.908
Isobutyric acid,Streptococcus salivarius,0.0493,0.683,0.955
Isovaleric acid,Streptococcus salivarius,0.163,0.173,0.845
Propionic acid ,Streptococcus salivarius,0.108,0.368,0.88
Acetic acid,Streptococcus thermophilus,0.264,0.0261,0.845
Butyric acid,Streptococcus thermophilus,0.104,0.39,0.885
Isobutyric acid,Streptococcus thermophilus,0.273,0.0213,0.845
Isovaleric acid,Streptococcus thermophilus,0.249,0.0364,0.845
Propionic acid ,Streptococcus thermophilus,0.21,0.0789,0.845
Acetic acid,Subdoligranulum unclassified,-0.0539,0.655,0.947
Butyric acid,Subdoligranulum unclassified,0.0809,0.502,0.908
Isobutyric acid,Subdoligranulum unclassified,-0.102,0.398,0.888
Isovaleric acid,Subdoligranulum unclassified,-0.042,0.728,0.964
Propionic acid ,Subdoligranulum unclassified,-0.094,0.435,0.894
Acetic acid,Sutterella wadsworthensis,0.177,0.14,0.845
Butyric acid,Sutterella wadsworthensis,-0.0879,0.466,0.904
Isobutyric acid,Sutterella wadsworthensis,0.176,0.142,0.845
Isovaleric acid,Sutterella wadsworthensis,0.0688,0.568,0.927
Propionic acid ,Sutterella wadsworthensis,0.143,0.235,0.855
Acetic acid,Treponema succinifaciens,-0.0758,0.53,0.915
Butyric acid,Treponema succinifaciens,-0.198,0.0974,0.845
Isobutyric acid,Treponema succinifaciens,-0.146,0.225,0.85
Isovaleric acid,Treponema succinifaciens,-0.169,0.159,0.845
Propionic acid ,Treponema succinifaciens,-0.0642,0.595,0.932
Acetic acid,Turicibacter sanguinis,0.27,0.023,0.845
Butyric acid,Turicibacter sanguinis,0.0102,0.933,0.994
Isobutyric acid,Turicibacter sanguinis,0.236,0.0472,0.845
Isovaleric acid,Turicibacter sanguinis,0.244,0.04,0.845
Propionic acid ,Turicibacter sanguinis,0.219,0.0661,0.845
Acetic acid,Turicibacter unclassified,0.335,0.00427,0.845
Butyric acid,Turicibacter unclassified,-0.0464,0.701,0.957
Isobutyric acid,Turicibacter unclassified,0.334,0.00443,0.845
Isovaleric acid,Turicibacter unclassified,0.34,0.00369,0.845
Propionic acid ,Turicibacter unclassified,0.311,0.0083,0.845
Acetic acid,Veillonella atypica,0.226,0.0578,0.845
Butyric acid,Veillonella atypica,0.159,0.185,0.845
Isobutyric acid,Veillonella atypica,0.237,0.0463,0.845
Isovaleric acid,Veillonella atypica,0.119,0.325,0.874
Propionic acid ,Veillonella atypica,0.233,0.051,0.845
Acetic acid,Veillonella dispar,0.157,0.19,0.845
Butyric acid,Veillonella dispar,-0.157,0.19,0.845
Isobutyric acid,Veillonella dispar,0.152,0.207,0.845
Isovaleric acid,Veillonella dispar,0.122,0.309,0.87
Propionic acid ,Veillonella dispar,0.0933,0.439,0.894
Acetic acid,Veillonella parvula,0.267,0.0245,0.845
Butyric acid,Veillonella parvula,0.0189,0.875,0.986
Isobutyric acid,Veillonella parvula,0.0974,0.419,0.894
Isovaleric acid,Veillonella parvula,0.306,0.00955,0.845
Propionic acid ,Veillonella parvula,0.0865,0.473,0.907
Acetic acid,Veillonella ratti,-0.0758,0.53,0.915
Butyric acid,Veillonella ratti,-0.198,0.0974,0.845
Isobutyric acid,Veillonella ratti,-0.146,0.225,0.85
Isovaleric acid,Veillonella ratti,-0.169,0.159,0.845
Propionic acid ,Veillonella ratti,-0.0642,0.595,0.932
Acetic acid,Veillonella unclassified,0.212,0.0759,0.845
Butyric acid,Veillonella unclassified,-0.024,0.843,0.98
Isobutyric acid,Veillonella unclassified,0.0678,0.574,0.928
Isovaleric acid,Veillonella unclassified,0.295,0.0125,0.845
Propionic acid ,Veillonella unclassified,0.128,0.288,0.866
,,,,
Spearman correlation coefficients (n=71).,,,,